"","BioNet_unassigned","BioNet_assigned","EUCLID","bark_matches_concat","main_trunk_fibrous","main_trunk_partly_fibrous","shedding_any","shedding_trunk_only","shedding_branches_only","ribbons_present_in_branches","fibrous_and_shedding","fibrous_and_ribbony"
"211","Eucalyptus intertexta","Eucalyptus intertexta","Eucalyptus intertexta","branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, rough bark imperfectly shed, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"212","Eucalyptus kartzoffiana","Eucalyptus kartzoffiana","Eucalyptus kartzoffiana","branches smooth, no ribbons in branches, ribbons in branches, fibrous, partly rough, wholly rough, rough bark loose basal slabs, rough bark box type, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,"ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"213","Eucalyptus kybeanensis","Eucalyptus kybeanensis","Eucalyptus kybeanensis","branches smooth, no ribbons in branches, ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"214","Eucalyptus lacrimans","Eucalyptus lacrimans","Eucalyptus lacrimans","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"215","Eucalyptus laevopinea","Eucalyptus laevopinea","Eucalyptus laevopinea","branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"216","Eucalyptus langleyi","Eucalyptus langleyi","Eucalyptus langleyi","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"217","Eucalyptus laophila","Eucalyptus laophila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218","Eucalyptus largeana","Eucalyptus largeana","Eucalyptus largeana","branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"219","Eucalyptus largiflorens","Eucalyptus largiflorens","Eucalyptus largiflorens","branches rough, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated",NA,NA,NA,NA,NA,NA,NA,NA
"220","Eucalyptus latiuscula","Eucalyptus latiuscula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","Eucalyptus leptophylla","Eucalyptus leptophylla","Eucalyptus leptophylla","branches smooth, no ribbons in branches, partly rough, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"222","Eucalyptus leucoxylon","Eucalyptus leucoxylon subsp. pruinosa","Eucalyptus leucoxylon subsp. pruinosa","branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, rough bark imperfectly shed, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"223","Eucalyptus leucoxylon subsp. pruinosa","Eucalyptus leucoxylon subsp. pruinosa","Eucalyptus leucoxylon subsp. pruinosa","branches smooth, no ribbons in branches, fibrous, partly rough, wholly smooth, rough bark loose basal slabs, rough bark box type, rough bark imperfectly shed, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"224","Eucalyptus ligustrina","Eucalyptus ligustrina","Eucalyptus ligustrina","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"225","Eucalyptus longifolia","Eucalyptus longifolia","Eucalyptus longifolia","branches rough, branches smooth, no ribbons in branches, fibrous, wholly rough, rough bark box type",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"226","Eucalyptus luehmanniana","Eucalyptus luehmanniana","Eucalyptus luehmanniana","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"227","Eucalyptus macarthurii","Eucalyptus macarthurii","Eucalyptus macarthurii","branches rough, branches smooth, no ribbons in branches, ribbons in branches, fibrous, wholly rough",NA,"partly fibrous","shedding",NA,"bark shed from branches only","ribbons in branches","both fibrous and shedding","both fibrous and ribbony"
"228","Eucalyptus mackintii","Eucalyptus mackintii","Eucalyptus mackintii","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"229","Eucalyptus macrorhyncha","Eucalyptus macrorhyncha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230","Eucalyptus macrorhyncha subsp. cannonii","Eucalyptus cannonii","Eucalyptus macrorhyncha subsp. cannonii","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"231","Eucalyptus macrorhyncha subsp. macrorhyncha","Eucalyptus macrorhyncha","Eucalyptus macrorhyncha subsp. macrorhyncha","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"232","Eucalyptus maculata","Corymbia maculata","Corymbia maculata","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"233","Eucalyptus magnificata","Eucalyptus magnificata","Eucalyptus magnificata","branches rough, branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark imperfectly shed, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"234","Eucalyptus maidenii","Eucalyptus maidenii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235","Eucalyptus major","Eucalyptus major","Eucalyptus major","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"236","Eucalyptus malacoxylon","Eucalyptus malacoxylon","Eucalyptus malacoxylon","branches rough, branches smooth, no ribbons in branches, wholly rough, rough bark box type, rough bark tessellated",NA,NA,"shedding",NA,"bark shed from branches only",NA,NA,NA
"237","Eucalyptus mannifera","Eucalyptus mannifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Eucalyptus mannifera subsp. gullickii","Eucalyptus mannifera subsp. gullickii","Eucalyptus mannifera subsp. gullickii","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"239","Eucalyptus mannifera subsp. maculosa","Eucalyptus mannifera subsp. mannifera","Eucalyptus mannifera subsp. mannifera","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"240","Eucalyptus mannifera subsp. mannifera","Eucalyptus mannifera subsp. mannifera","Eucalyptus mannifera subsp. mannifera","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"241","Eucalyptus mannifera subsp. praecox","Eucalyptus praecox","Eucalyptus mannifera subsp. praecox","branches smooth, no ribbons in branches, partly rough, wholly smooth, rough bark loose basal slabs, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"242","Eucalyptus mckieana","Eucalyptus mckieana","Eucalyptus mckieana","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"243","Eucalyptus melanophloia","Eucalyptus melanophloia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Eucalyptus melliodora","Eucalyptus melliodora","Eucalyptus melliodora","branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark loose basal slabs, rough bark box type, rough bark imperfectly shed, partly or all smooth",NA,"partly fibrous","shedding",NA,NA,NA,"both fibrous and shedding",NA
"245","Eucalyptus michaeliana","Eucalyptus michaeliana","Eucalyptus michaeliana","branches smooth, no ribbons in branches, wholly smooth, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"246","Eucalyptus microcarpa","Eucalyptus microcarpa","Eucalyptus microcarpa","branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"247","Eucalyptus microcarpa <--> viridis","Eucalyptus microcarpa <--> viridis","Eucalyptus microcarpa","branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"248","Eucalyptus microcarpa x pilligaensis","Eucalyptus microcarpa x pilligaensis","Eucalyptus microcarpa","branches smooth, no ribbons in branches, ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth",NA,NA,"shedding",NA,NA,"ribbons in branches",NA,NA
"249","Eucalyptus microcorys","Eucalyptus microcorys","Eucalyptus microcorys","branches rough, no ribbons in branches, fibrous, wholly rough","wholly fibrous",NA,NA,NA,NA,NA,NA,NA
"250","Eucalyptus microtheca","Eucalyptus coolabah","Eucalyptus microtheca","branches rough, branches smooth, no ribbons in branches, fibrous, partly rough, wholly rough, rough bark box type, rough bark tessellated",NA,"partly fibrous","shedding",NA,"bark shed from branches only",NA,"both fibrous and shedding",NA
"251","Eucalyptus moluccana","Eucalyptus moluccana","Eucalyptus moluccana","branches smooth, no ribbons in branches, partly rough, wholly rough, rough bark box type, rough bark tessellated, partly or all smooth",NA,NA,"shedding",NA,NA,NA,NA,NA
"252","Eucalyptus moorei","Eucalyptus moorei",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
