"APC_confirmed_name","BioNet_assigned","BioNet_unassigned","EUCLID_checked","EUCLID_no_match"
"Eucalyptus fibrosa","Eucalyptus fibrosa","Eucalyptus fibrosa","Eucalyptus fibrosa subsp. fibrosa",NA
"Eucalyptus fibrosa","Eucalyptus fibrosa","Eucalyptus fibrosa subsp. fibrosa","Eucalyptus fibrosa subsp. fibrosa",NA
"","Eucalyptus fibrosa x punctata","Eucalyptus fibrosa x punctata","No match",NA
"Eucalyptus fracta","Eucalyptus fracta","Eucalyptus fracta","NA",NA
"Eucalyptus fraxinoides","Eucalyptus fraxinoides","Eucalyptus fraxinoides","Eucalyptus fraxinoides",NA
"Eucalyptus fusiformis","Eucalyptus fusiformis","Eucalyptus fusiformis","Eucalyptus fusiformis",NA
"Eucalyptus gillii","Eucalyptus gillii","Eucalyptus gillii","Eucalyptus gillii",NA
"Eucalyptus glaucescens","Eucalyptus glaucescens","Eucalyptus glaucescens","Eucalyptus glaucescens",NA
"Eucalyptus glaucina","Eucalyptus glaucina","Eucalyptus glaucina","Eucalyptus glaucina",NA
"Eucalyptus globoidea","Eucalyptus globoidea","Eucalyptus globoidea","Eucalyptus globoidea",NA
"Eucalyptus globulus","Eucalyptus globulus","Eucalyptus globulus","NA",NA
"Eucalyptus goniocalyx","Eucalyptus goniocalyx","Eucalyptus goniocalyx","NA",NA
"Eucalyptus goniocalyx subsp. goniocalyx","Eucalyptus goniocalyx subsp. goniocalyx","Eucalyptus goniocalyx subsp. goniocalyx","Eucalyptus goniocalyx subsp. goniocalyx",NA
"Eucalyptus gracilis","Eucalyptus gracilis","Eucalyptus gracilis","Eucalyptus gracilis",NA
"Eucalyptus grandis","Eucalyptus grandis","Eucalyptus grandis","Eucalyptus grandis",NA
"","Eucalyptus grandis x saligna","Eucalyptus grandis x saligna","No match",NA
"Eucalyptus gregsoniana","Eucalyptus gregsoniana","Eucalyptus gregsoniana","Eucalyptus gregsoniana",NA
"Eucalyptus gunnii","Eucalyptus gunnii","Eucalyptus gunnii","Eucalyptus gunnii",NA
"Eucalyptus haemastoma","Eucalyptus haemastoma","Eucalyptus haemastoma","Eucalyptus haemastoma",NA
"","Eucalyptus haemastoma x racemosa","Eucalyptus haemastoma x racemosa","No match",NA
"Eucalyptus hypostomatica","Eucalyptus hypostomatica","Eucalyptus hypostomatica","Eucalyptus hypostomatica",NA
"Eucalyptus ignorabilis","Eucalyptus ignorabilis","Eucalyptus ignorabilis","Eucalyptus ignorabilis",NA
"Eucalyptus imitans","Eucalyptus imitans","Eucalyptus imitans","Eucalyptus imitans",NA
"Eucalyptus interstans","Eucalyptus interstans","Eucalyptus interstans","Eucalyptus interstans",NA
"Eucalyptus intertexta","Eucalyptus intertexta","Eucalyptus intertexta","Eucalyptus intertexta",NA
